,Date,Open,High,Low,Close,DaiVolume,Market Cap,DaiMean
108,7-Jan-21,1,1,0.9992,0.9997,507948433,1367751927,0.99985
109,6-Jan-21,1,1,1,1,449099903,1317148192,1
110,5-Jan-21,1,1,1,1,479869770,1326951728,1
111,4-Jan-21,1,1,1,1,638960956,1316821874,1
112,3-Jan-21,1,1,1,1,537297796,1225566701,1
113,2-Jan-21,1,1.01,0.999,1,588836476,1181921789,1
114,1-Jan-21,1,1.01,1,1,278153536,1207045952,1
115,31-Dec-20,1,1,1,1,286302515,1167443972,1
116,30-Dec-20,1,1,1,1,304820960,1154681128,1
117,29-Dec-20,1,1,1,1,249433205,1134284747,1
118,28-Dec-20,1,1,1,1,238669160,1130644660,1
119,27-Dec-20,1,1,1,1,255604533,1106811794,1
120,26-Dec-20,1,1,1,1,167114394,1125030127,1
121,25-Dec-20,1,1,1,1,149797913,1120277664,1
122,24-Dec-20,1,1,1,1,193988316,1119956633,1
123,23-Dec-20,1,1,1,1,197958879,1118492835,1
124,22-Dec-20,1,1,0.9987,1,183451978,1119003686,1
125,21-Dec-20,1,1,1,1,184092257,1126649455,1
126,20-Dec-20,1,1,1,1,122899437,1125824653,1
127,19-Dec-20,1,1,1,1,144959639,1135176580,1
128,18-Dec-20,1,1,1,1,172590936,1126454628,1
129,17-Dec-20,1,1,0.9997,1,644510981,1129516700,1
130,16-Dec-20,1,1,0.9994,1,145036938,1116409763,1
131,15-Dec-20,1,1,1,1,121326135,1098048141,1
132,14-Dec-20,1,1,1,1,106437042,1094983826,1
133,13-Dec-20,1,1,1,1,96654102,1094906044,1
134,12-Dec-20,1,1,0.9985,1,135786393,1087570390,1
135,11-Dec-20,1,1,1,1,110017747,1065675569,1
136,10-Dec-20,1,1,1,1,127015957,1082792814,1
137,9-Dec-20,1,1.01,1,1,151549505,1084887121,1
138,8-Dec-20,1,1.01,1,1,137567456,1079334771,1
139,7-Dec-20,1.01,1.01,1,1,111902630,1073535909,1.005
140,6-Dec-20,1,1.01,1,1.01,120593421,1079654389,1.005
141,5-Dec-20,1,1.01,1,1,101214865,1073652585,1
142,4-Dec-20,1,1,1,1,114181888,1073432520,1
143,3-Dec-20,1,1.01,1,1,91760700,1080757071,1
144,2-Dec-20,1,1.01,1,1,105698786,1076028394,1
