,Date,Open,High,Low,Close,WbtcVolume,Market cap,WbtcMean
225,12-Sep-20,10396.22,10552.31,10333.11,10473.92,19802587,581280007,10435.07
226,11-Sep-20,10388.97,10464.39,10152.62,10398.09,15878815,554725435,10393.53
227,10-Sep-20,10260.74,10640.61,10252.38,10381.27,30055012,532504332,10321.005
228,9-Sep-20,10143.91,10396.04,9947.83,10264.38,12951222,507271257,10204.145
229,8-Sep-20,10371.58,10726.6,9973.21,10146.91,15633080,482645257,10259.245
230,7-Sep-20,10300.03,10400.7,9924.06,10370.37,11551948,481404806,10335.2
231,6-Sep-20,10270.14,10415.8,10083.13,10299.87,11006771,459600487,10285.005
232,5-Sep-20,10550.38,10667.55,10113.83,10272.64,17450225,449604309,10411.51
233,4-Sep-20,10568.74,10697.53,10264.74,10548.82,10731020,437175780,10558.78
234,3-Sep-20,11524.24,11563.65,10481.24,10564.66,17753084,437832317,11044.45
235,2-Sep-20,11750.41,12039.31,11250.27,11495.74,9505340,449530258,11623.075
236,1-Sep-20,11847.08,12388.67,11650.43,11750.63,23768873,447751610,11798.855
237,31-Aug-20,11740.88,11936.54,11521.53,11845.59,23468332,417623883,11793.235
238,30-Aug-20,12340.87,12408.58,11528.6,11740.33,24144995,387508326,12040.6
239,29-Aug-20,11676.86,12299.79,11342.18,12299.79,8284789,398720103,11988.325
240,28-Aug-20,11478.05,11675.8,11372.75,11675.8,6860553,378492183,11576.925
241,27-Aug-20,11581,11618.48,11192.36,11479.18,5804633,360643818,11530.09
242,26-Aug-20,11458.64,11653.01,11303.09,11626.01,6719406,361538431,11542.325
243,25-Aug-20,11750.93,11890.87,11254.28,11449.23,3801412,356041214,11600.08
244,24-Aug-20,11619.61,11832.59,11482.66,11749.63,5319503,361859481,11684.62
245,23-Aug-20,11682.97,11884.21,11484.4,11622.21,8576857,357935397,11652.59
246,22-Aug-20,11429.1,12512.96,11282.33,11692.23,6268310,360091924,11560.665
247,21-Aug-20,11773.23,11987.64,11409.31,11430.2,3085287,352022049,11601.715
248,20-Aug-20,11767.34,11907.4,11621.75,11771.51,4313650,362533371,11769.425
249,19-Aug-20,12062.97,12198.1,11601.09,11767.34,4281865,362404938,11915.155
250,18-Aug-20,12191.57,12420.51,11927.22,12125.71,3528697,348716536,12158.64
251,17-Aug-20,12036.5,12347.16,11707.04,12180.55,5671393,345423898,12108.525
252,16-Aug-20,11646.98,12054.41,11615.32,12036.5,5940136,320283421,11841.74
253,15-Aug-20,11963.71,12350.96,11572.72,11646.02,6232602,299370628,11804.865
254,14-Aug-20,11904.64,12176.46,11678.91,11953.82,8383305,276825515,11929.23
255,13-Aug-20,11643.43,12185.89,11060.66,11906.39,2722882,251282957,11774.91
256,12-Aug-20,11496.02,12458.89,11165.17,11637.43,2396289,238626946,11566.725
257,11-Aug-20,12008.15,12174.02,11220.8,11503.52,2278007,232431824,11755.835
258,10-Aug-20,11747.96,12248.21,11708.42,12008.02,1858365,232063264,11877.99
259,9-Aug-20,11744.89,11859.38,11587,11745.58,1490605,193471228,11745.235
260,8-Aug-20,11585.18,11810.22,11425.35,11724.59,712572,191965555,11654.885
261,7-Aug-20,11784.31,11892.87,11390.39,11562.45,699746,189310771,11673.38
262,6-Aug-20,11551.9,11900.45,11486.34,11783.52,1548895,192930382,11667.71
263,5-Aug-20,11141.16,11677.5,11049.93,11551.9,776947,182764007,11346.53
264,4-Aug-20,11126.89,11319.37,10980.79,11144.51,1409390,172976964,11135.7
265,3-Aug-20,10876.41,11252.69,10771.15,11126.89,687923,172703517,11001.65
266,2-Aug-20,11910.99,11951.72,10788.47,10876.97,1765040,168824481,11393.98
267,1-Aug-20,11919.18,12838.17,11445.59,11930.54,1558146,185177098,11924.86
268,31-Jul-20,11198.24,12376.08,10977.97,11919.18,519024,185000837,11558.71
269,30-Jul-20,11218.18,11513.66,10746.36,11226.7,2066317,174252614,11222.44
270,29-Jul-20,10896.36,12255.73,10849.89,11218.18,1069483,174120378,11057.27
271,28-Jul-20,11028.59,11254.46,10630.33,10894.48,748680,169096132,10961.535
272,27-Jul-20,9940.77,11393.08,9940.77,11039.95,938364,169147631,10490.36
273,26-Jul-20,9705.75,10065.31,9638.14,9940.04,1043019,149822119,9822.895
274,25-Jul-20,9516.05,10795.02,9513.41,9707.1,831978,145350706,9611.575
275,24-Jul-20,9666.25,9672.69,9436.71,9514.07,520216,142460396,9590.16
276,23-Jul-20,9533.76,9717.22,9422.53,9666.25,335706,142807143,9600.005
277,22-Jul-20,9353.99,9709.22,9292.71,9533.76,358792,132501876,9443.875
278,21-Jul-20,9113.67,9449.53,9095.72,9356.65,186747,114422582,9235.16
279,20-Jul-20,9151.94,9256.75,9040.53,9125.05,351476,111590340,9138.495
280,19-Jul-20,9129.95,9294.93,9026.89,9154,384600,111944353,9141.975
281,18-Jul-20,9133.3,9240.87,9105.85,9132.39,154940,106441201,9132.845
282,17-Jul-20,9205.79,9237.35,9065.03,9133.3,87297,105082754,9169.545
283,16-Jul-20,9253.33,9275.78,9029.65,9204.74,203589,105904729,9229.035
