,Date,Open,High,Low,Close,PolkaVolume,Market Cap,PolkaMean
86,29-Jan-21,17.1,17.64,16.03,16.84,3657663583,15249211491,16.97
87,28-Jan-21,15.5,17.46,15.36,16.94,2960951225,15338599024,16.22
88,27-Jan-21,17.12,17.12,15.08,15.5,2973163194,14031295907,16.31
89,26-Jan-21,17.24,17.77,16.08,17.12,2588253411,15487077235,17.18
90,25-Jan-21,18,19.05,17.12,17.25,3351498659,15598550884,17.625
91,24-Jan-21,18.6,18.72,17.38,18,2800444854,16268654954,18.3
92,23-Jan-21,17.16,18.75,16.87,18.6,2842317183,16800498070,17.88
93,22-Jan-21,15.93,17.98,14.89,17.16,2991599976,15498857928,16.545
94,21-Jan-21,17.98,18.06,15.05,15.94,4843725549,14394680976,16.96
95,20-Jan-21,16.45,18.13,14.83,17.95,4624508717,16197751625,17.2
96,19-Jan-21,16.52,17.47,16.05,16.47,3414422602,14857593596,16.495
97,18-Jan-21,17,18.1,15.82,16.51,3888179752,14889926543,16.755
98,17-Jan-21,18.15,18.15,16.41,16.98,6091648732,15306722570,17.565
99,16-Jan-21,13.2,19.32,13.19,18.18,8917081506,16377017838,15.69
100,15-Jan-21,14.52,14.86,11.85,13.21,6159630996,11892435980,13.865
101,14-Jan-21,10.95,14.55,10.93,14.54,5405054869,13082749823,12.745
102,13-Jan-21,8.27,11.3,7.99,10.96,2915711373,9857235821,9.615
103,12-Jan-21,8.27,8.62,7.97,8.26,1918790089,7431056432,8.265
104,11-Jan-21,9.3,9.3,7.23,8.28,3251043299,7438402688,8.79
105,10-Jan-21,9.78,9.99,8.75,9.31,1603968712,8361125118,9.545
106,9-Jan-21,9.31,9.82,9.05,9.78,1478813230,8783858938,9.545
107,8-Jan-21,9.65,9.8,8.86,9.31,2350202788,8357620979,9.48
108,7-Jan-21,10.09,10.63,9.5,9.64,2521342761,8658771900,9.865
109,6-Jan-21,9.71,10.37,9.49,10.1,2382484175,9059681060,9.905
110,5-Jan-21,9.48,10.04,9.08,9.7,2080742171,8704252438,9.59
111,4-Jan-21,10.06,10.51,8.78,9.47,2893262630,8492158903,9.765
112,3-Jan-21,9.21,10.46,8.87,10.03,3032883074,8995148461,9.62
113,2-Jan-21,8.31,9.76,7.94,9.21,3049232407,8254057307,8.76
114,1-Jan-21,9.29,9.42,8.12,8.31,2791211123,7442884318,8.8
115,31-Dec-20,7.25,9.43,7.17,9.29,2751292067,8318279231,8.27
116,30-Dec-20,7.52,7.65,7.09,7.25,2059017629,6492175417,7.385
117,29-Dec-20,6.58,7.61,6.2,7.52,2717983832,6727781087,7.05
118,28-Dec-20,5.14,6.64,5.12,6.59,1746628677,5892566077,5.865
119,27-Dec-20,5.18,5.39,4.95,5.14,784179881,4592307413,5.16
120,26-Dec-20,5.21,5.27,5.09,5.18,484934518,4632413801,5.195
121,25-Dec-20,5.13,5.27,5.04,5.21,512565394,4659822224,5.17
122,24-Dec-20,4.71,5.2,4.66,5.13,646511051,4582660904,4.92
123,23-Dec-20,5.15,5.18,4.62,4.71,665441295,4207716404,4.93
124,22-Dec-20,4.89,5.17,4.81,5.15,697260532,4603028363,5.02
125,21-Dec-20,5.19,5.41,4.81,4.89,665375358,4365028373,5.04
126,20-Dec-20,5.34,5.43,5.09,5.19,519415555,4628079243,5.265
127,19-Dec-20,5.37,5.57,5.29,5.34,517648631,4761254337,5.355
128,18-Dec-20,5.34,5.5,5.26,5.37,607402856,4785926664,5.355
129,17-Dec-20,5.36,5.73,5.29,5.34,863948412,4758675487,5.35
130,16-Dec-20,5.25,5.36,5.12,5.36,508481878,4771216326,5.305
131,15-Dec-20,4.9,5.28,4.85,5.25,354033042,4672343779,5.075
132,14-Dec-20,4.89,5,4.84,4.9,204385757,4348029101,4.895
133,13-Dec-20,4.74,4.99,4.74,4.89,280953204,4339944731,4.815
134,12-Dec-20,4.62,4.8,4.62,4.74,282782417,4205469340,4.68
135,11-Dec-20,4.8,4.8,4.55,4.62,366039075,4098623898,4.71
136,10-Dec-20,4.86,4.91,4.75,4.8,299121449,4253982261,4.83
137,9-Dec-20,4.73,4.94,4.63,4.86,477599466,4309886799,4.795
138,8-Dec-20,5.06,5.07,4.71,4.73,398505417,4194935616,4.895
139,7-Dec-20,5.13,5.15,5.02,5.06,242900962,4483466813,5.095
140,6-Dec-20,5.19,5.2,5.01,5.14,299285627,4547051376,5.165
141,5-Dec-20,5.03,5.19,4.89,5.19,408952852,4592436805,5.11
142,4-Dec-20,5.41,5.43,4.97,5.03,422944392,4453957346,5.22
143,3-Dec-20,5.46,5.56,5.34,5.41,354593131,4783391737,5.435
144,2-Dec-20,5.09,5.53,5.03,5.46,607216780,4829741979,5.275
145,1-Dec-20,5.38,5.53,5.02,5.09,777715514,4497421389,5.235
146,30-Nov-20,5.19,5.44,5.15,5.38,649773393,4741608246,5.285
147,29-Nov-20,4.9,5.2,4.81,5.19,451787954,4576446420,5.045
148,28-Nov-20,4.78,4.94,4.68,4.9,415083876,4319975484,4.84
149,27-Nov-20,4.81,5.07,4.52,4.78,864684858,4215509966,4.795
150,26-Nov-20,5.31,5.37,4.46,4.8,1433368625,4234022691,5.055
151,25-Nov-20,5.73,5.82,5.18,5.31,1011116414,4677929616,5.52
152,24-Nov-20,5.91,6.08,5.62,5.73,1113438978,5046372835,5.82
153,23-Nov-20,5.48,5.94,5.42,5.91,997956277,5201454893,5.695
154,22-Nov-20,5.75,5.83,5.22,5.48,1048639986,4825834134,5.615
155,21-Nov-20,5.23,5.81,5.14,5.75,1022750932,5060561832,5.49
156,20-Nov-20,4.76,5.46,4.75,5.23,1027776286,4602682307,4.995
157,19-Nov-20,4.68,4.85,4.55,4.76,551607999,4182706632,4.72
158,18-Nov-20,4.84,4.93,4.53,4.68,671452168,4113722908,4.76
159,17-Nov-20,4.61,4.91,4.57,4.84,675069949,4257774182,4.725
160,16-Nov-20,4.38,4.59,4.35,4.49,445672648,3941257093,4.435
161,15-Nov-20,4.47,4.49,4.31,4.38,325439058,3847021230,4.425
162,14-Nov-20,4.54,4.55,4.37,4.47,331350627,3921402330,4.505
163,13-Nov-20,4.4,4.59,4.37,4.54,342519103,3985281156,4.47
164,12-Nov-20,4.46,4.47,4.32,4.4,367161907,3860331526,4.43
165,11-Nov-20,4.42,4.62,4.42,4.46,404513890,3910436471,4.44
166,10-Nov-20,4.35,4.5,4.31,4.42,379322634,3764453584,4.385
167,9-Nov-20,4.37,4.46,4.25,4.35,396903280,3706261141,4.36
168,8-Nov-20,4.24,4.43,4.14,4.37,393903990,3727855176,4.305
169,7-Nov-20,4.58,4.84,4.11,4.24,724809168,3616897050,4.41
170,6-Nov-20,4.24,4.63,4.21,4.58,463200956,3904829692,4.41
171,5-Nov-20,4.1,4.3,4.03,4.24,375265287,3611129170,4.17
172,4-Nov-20,4.03,4.15,3.89,4.1,836536272,3494221350,4.065
173,3-Nov-20,4.03,4.07,3.89,4.03,413471121,3432306462,4.03
174,2-Nov-20,4.23,4.26,3.99,4.03,503474044,3436367636,4.13
175,1-Nov-20,4.18,4.23,4.12,4.23,302861124,3602960876,4.205
176,31-Oct-20,4.09,4.27,4.07,4.18,318678917,3565574466,4.135
177,30-Oct-20,4.05,4.16,3.94,4.09,586577443,3485720265,4.07
178,29-Oct-20,4.37,4.4,3.88,4.05,686597329,3456075113,4.21
179,28-Oct-20,4.68,4.77,4.26,4.37,649971738,3721889676,4.525
180,27-Oct-20,4.73,4.93,4.66,4.68,820401909,3993760877,4.705
